MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
SSD;4194304;uint8_t;4194304;1;clock();2.434000e-03;2.434000e-03;1.723214e+15;0.000000e+00;0.000000e+00%;9.930000e-04;9.930000e-04;4.223871e+15;0.000000e+00;0.000000e+00%;
SSD;8388608;uint8_t;8388608;1;clock();4.485000e-03;4.485000e-03;1.870370e+15;0.000000e+00;0.000000e+00%;2.469000e-03;2.469000e-03;3.397573e+15;0.000000e+00;0.000000e+00%;
SSD;12582912;uint8_t;12582912;1;clock();6.233000e-03;6.233000e-03;2.018757e+15;0.000000e+00;0.000000e+00%;3.342000e-03;3.342000e-03;3.765084e+15;0.000000e+00;0.000000e+00%;
SSD;16777216;uint8_t;16777216;1;clock();8.243000e-03;8.243000e-03;2.035329e+15;0.000000e+00;0.000000e+00%;4.728000e-03;4.728000e-03;3.548481e+15;0.000000e+00;0.000000e+00%;
SSD;20971520;uint8_t;20971520;1;clock();1.039100e-02;1.039100e-02;2.018239e+15;0.000000e+00;0.000000e+00%;5.694000e-03;5.694000e-03;3.683091e+15;0.000000e+00;0.000000e+00%;
SSD;25165824;uint8_t;25165824;1;clock();1.248300e-02;1.248300e-02;2.016008e+15;0.000000e+00;0.000000e+00%;1.181000e-02;1.181000e-02;2.130891e+15;0.000000e+00;0.000000e+00%;
SSD;29360128;uint8_t;29360128;1;clock();1.427800e-02;1.427800e-02;2.056319e+15;0.000000e+00;0.000000e+00%;8.704000e-03;8.704000e-03;3.373176e+15;0.000000e+00;0.000000e+00%;
SSD;33554432;uint8_t;33554432;1;clock();1.656300e-02;1.656300e-02;2.025867e+15;0.000000e+00;0.000000e+00%;1.195800e-02;1.195800e-02;2.806024e+15;0.000000e+00;0.000000e+00%;
SSD;37748736;uint8_t;37748736;1;clock();1.906700e-02;1.906700e-02;1.979794e+15;0.000000e+00;0.000000e+00%;1.604000e-02;1.604000e-02;2.353412e+15;0.000000e+00;0.000000e+00%;
SSD;41943040;uint8_t;41943040;1;clock();2.049200e-02;2.049200e-02;2.046801e+15;0.000000e+00;0.000000e+00%;1.893500e-02;1.893500e-02;2.215106e+15;0.000000e+00;0.000000e+00%;
SSD;46137344;uint8_t;46137344;1;clock();3.285200e-02;3.285200e-02;1.404400e+15;0.000000e+00;0.000000e+00%;2.345800e-02;2.345800e-02;1.966806e+15;0.000000e+00;0.000000e+00%;
SSD;50331648;uint8_t;50331648;1;clock();3.562000e-02;3.562000e-02;1.413017e+15;0.000000e+00;0.000000e+00%;2.507700e-02;2.507700e-02;2.007084e+15;0.000000e+00;0.000000e+00%;
SSD;54525952;uint8_t;54525952;1;clock();3.865200e-02;3.865200e-02;1.410689e+15;0.000000e+00;0.000000e+00%;2.427900e-02;2.427900e-02;2.245807e+15;0.000000e+00;0.000000e+00%;
SSD;58720256;uint8_t;58720256;1;clock();4.167300e-02;4.167300e-02;1.409072e+15;0.000000e+00;0.000000e+00%;2.353200e-02;2.353200e-02;2.495336e+15;0.000000e+00;0.000000e+00%;
SSD;62914560;uint8_t;62914560;1;clock();3.289700e-02;3.289700e-02;1.912471e+15;0.000000e+00;0.000000e+00%;2.620800e-02;2.620800e-02;2.400586e+15;0.000000e+00;0.000000e+00%;
SSD;67108864;uint8_t;67108864;1;clock();3.265100e-02;3.265100e-02;2.055339e+15;0.000000e+00;0.000000e+00%;2.977700e-02;2.977700e-02;2.253715e+15;0.000000e+00;0.000000e+00%;
SSD;71303168;uint8_t;71303168;1;clock();3.451600e-02;3.451600e-02;2.065800e+15;0.000000e+00;0.000000e+00%;2.898800e-02;2.898800e-02;2.459748e+15;0.000000e+00;0.000000e+00%;
SSD;75497472;uint8_t;75497472;1;clock();5.363800e-02;5.363800e-02;1.407537e+15;0.000000e+00;0.000000e+00%;2.757000e-02;2.757000e-02;2.738392e+15;0.000000e+00;0.000000e+00%;
SSD;79691776;uint8_t;79691776;1;clock();5.637700e-02;5.637700e-02;1.413551e+15;0.000000e+00;0.000000e+00%;3.383600e-02;3.383600e-02;2.355236e+15;0.000000e+00;0.000000e+00%;
SSD;83886080;uint8_t;83886080;1;clock();4.066500e-02;4.066500e-02;2.062857e+15;0.000000e+00;0.000000e+00%;3.162700e-02;3.162700e-02;2.652357e+15;0.000000e+00;0.000000e+00%;
flash;4194304;uint8_t;4194304;1;clock();4.613000e-03;4.613000e-03;9.092356e+14;0.000000e+00;0.000000e+00%;1.998000e-03;1.998000e-03;2.099251e+15;0.000000e+00;0.000000e+00%;
flash;8388608;uint8_t;8388608;1;clock();1.867700e-02;1.867700e-02;4.491411e+14;0.000000e+00;0.000000e+00%;2.468000e-03;2.468000e-03;3.398950e+15;0.000000e+00;0.000000e+00%;
flash;12582912;uint8_t;12582912;1;clock();3.418800e-02;3.418800e-02;3.680505e+14;0.000000e+00;0.000000e+00%;6.709000e-03;6.709000e-03;1.875527e+15;0.000000e+00;0.000000e+00%;
flash;16777216;uint8_t;16777216;1;clock();1.973900e-02;1.973900e-02;8.499527e+14;0.000000e+00;0.000000e+00%;6.410000e-03;6.410000e-03;2.617350e+15;0.000000e+00;0.000000e+00%;
flash;20971520;uint8_t;20971520;1;clock();5.148800e-02;5.148800e-02;4.073089e+14;0.000000e+00;0.000000e+00%;7.971000e-03;7.971000e-03;2.630977e+15;0.000000e+00;0.000000e+00%;
flash;25165824;uint8_t;25165824;1;clock();5.356800e-02;5.356800e-02;4.697921e+14;0.000000e+00;0.000000e+00%;8.795000e-03;8.795000e-03;2.861379e+15;0.000000e+00;0.000000e+00%;
flash;29360128;uint8_t;29360128;1;clock();3.361100e-02;3.361100e-02;8.735274e+14;0.000000e+00;0.000000e+00%;9.894000e-03;9.894000e-03;2.967468e+15;0.000000e+00;0.000000e+00%;
flash;33554432;uint8_t;33554432;1;clock();3.749700e-02;3.749700e-02;8.948564e+14;0.000000e+00;0.000000e+00%;1.077000e-02;1.077000e-02;3.115546e+15;0.000000e+00;0.000000e+00%;
flash;37748736;uint8_t;37748736;1;clock();4.128300e-02;4.128300e-02;9.143894e+14;0.000000e+00;0.000000e+00%;1.961000e-02;1.961000e-02;1.924974e+15;0.000000e+00;0.000000e+00%;
flash;41943040;uint8_t;41943040;1;clock();4.389700e-02;4.389700e-02;9.554876e+14;0.000000e+00;0.000000e+00%;1.720800e-02;1.720800e-02;2.437415e+15;0.000000e+00;0.000000e+00%;
flash;46137344;uint8_t;46137344;1;clock();6.068800e-02;6.068800e-02;7.602383e+14;0.000000e+00;0.000000e+00%;2.384100e-02;2.384100e-02;1.935210e+15;0.000000e+00;0.000000e+00%;
flash;50331648;uint8_t;50331648;1;clock();5.488000e-02;5.488000e-02;9.171219e+14;0.000000e+00;0.000000e+00%;1.522700e-02;1.522700e-02;3.305421e+15;0.000000e+00;0.000000e+00%;
flash;54525952;uint8_t;54525952;1;clock();7.185900e-02;7.185900e-02;7.587909e+14;0.000000e+00;0.000000e+00%;1.525200e-02;1.525200e-02;3.575003e+15;0.000000e+00;0.000000e+00%;
flash;58720256;uint8_t;58720256;1;clock();7.320700e-02;7.320700e-02;8.021126e+14;0.000000e+00;0.000000e+00%;1.672800e-02;1.672800e-02;3.510297e+15;0.000000e+00;0.000000e+00%;
flash;62914560;uint8_t;62914560;1;clock();7.501000e-02;7.501000e-02;8.387490e+14;0.000000e+00;0.000000e+00%;1.796300e-02;1.796300e-02;3.502453e+15;0.000000e+00;0.000000e+00%;
flash;67108864;uint8_t;67108864;1;clock();7.050700e-02;7.050700e-02;9.518043e+14;0.000000e+00;0.000000e+00%;1.875300e-02;1.875300e-02;3.578567e+15;0.000000e+00;0.000000e+00%;
flash;71303168;uint8_t;71303168;1;clock();7.777400e-02;7.777400e-02;9.167995e+14;0.000000e+00;0.000000e+00%;1.854500e-02;1.854500e-02;3.844873e+15;0.000000e+00;0.000000e+00%;
flash;75497472;uint8_t;75497472;1;clock();7.905800e-02;7.905800e-02;9.549631e+14;0.000000e+00;0.000000e+00%;2.047000e-02;2.047000e-02;3.688201e+15;0.000000e+00;0.000000e+00%;
flash;79691776;uint8_t;79691776;1;clock();9.899600e-02;9.899600e-02;8.050000e+14;0.000000e+00;0.000000e+00%;2.183400e-02;2.183400e-02;3.649894e+15;0.000000e+00;0.000000e+00%;
flash;83886080;uint8_t;83886080;1;clock();8.775400e-02;8.775400e-02;9.559231e+14;0.000000e+00;0.000000e+00%;2.256500e-02;2.256500e-02;3.717531e+15;0.000000e+00;0.000000e+00%;
