multiplication type,launch count,matrix size,block size,timer,average time,absError,relError
block,3,512,4,clock(),4.748500e-01,3.460643e-03,2.522070e-03%
block,3,512,8,clock(),6.101677e-01,5.775120e-02,5.466039e-01%
block,3,512,16,clock(),5.725150e-01,2.477485e-02,1.072100e-01%
block,3,512,32,clock(),3.654990e-01,1.899675e-02,9.873532e-02%
block,3,512,64,clock(),3.794253e-01,3.938397e-02,4.088018e-01%
block,3,512,128,clock(),5.677887e-01,3.390137e-02,2.024174e-01%
block,3,512,256,clock(),5.245490e-01,3.869005e-02,2.853728e-01%
usual;3;512;64;clock();7.338510e-01;1.305429e-02;2.322194e-02%;
row_by_row;3;512;64;clock();5.214387e-01;2.314064e-02;1.026946e-01%;
block;3;512;64;clock();3.606927e-01;1.816518e-02;9.148334e-02%;
